Pic 1,Pic 2,Pic 3
[ 22.],[ 18.],[ 17.]
[ 16.],[ 17.],[ 12.]
[ 11.],[ 15.],[ 11.]
[ 24.],[ 11.],[ 9.]
[ 16.],[ 11.],[ 20.]
[ 10.],[ 11.],[ 14.]
[ 21.],[ 9.],[ 14.]
[ 15.],[ 13.],[ 9.]
[ 11.],[ 15.],[ 15.]
[ 19.],[ 13.],[ 12.]
[ 19.],[ 17.],[ 16.]
[ 15.],[ 7.],[ 15.]
[ 19.],[ 16.],[ 12.]
[ 19.],[ 10.],[ 11.]
[ 25.],[ 10.],[ 19.]
[ 25.],[ 10.],[ 14.]
[ 26.],[ 18.],[ 12.]
[ 18.],[ 6.],[ 16.]
[ 19.],[ 11.],[ 12.]
[ 8.],[ 9.],[ 13.]
[ 21.],[ 16.],[ 11.]
[ 13.],[ 12.],[ 12.]
[ 11.],[ 9.],[ 17.]
[ 14.],[ 16.],[ 13.]
[ 27.],[ 10.],[ 13.]
[ 14.],[ 14.],[ 9.]
[ 17.],[ 12.],[ 12.]
[ 10.],[ 9.],[ 19.]
[ 16.],[ 10.],[ 17.]
[ 17.],[ 9.],[ 15.]
[ 14.],[ 19.],[ 12.]
[ 15.],[ 17.],[ 12.]
[ 17.],[ 8.],[ 17.]
[ 20.],[ 12.],[ 30.]
[ 9.],[ 14.],[ 25.]
[ 12.],[ 7.],[ 27.]
[ 12.],[ 15.],[ 35.]
[ 20.],[ 11.],[ 31.]
[ 15.],[ 12.],[ 34.]
[ 15.],[ 6.],[ 36.]
[ 23.],[ 10.],[ 28.]
[ 10.],[ 15.],[ 27.]
[ 17.],[ 12.],[ 42.]
[ 20.],[ 8.],[ 51.]
[ 17.],[ 11.],[ 49.]
[ 19.],[ 12.],[ 51.]
[ 17.],[ 19.],[ 36.]
[ 13.],[ 10.],[ 39.]
[ 21.],[ 7.],[ 62.]
[ 23.],[ 14.],[ 47.]
[ 20.],[ 13.],[ 42.]
[ 18.],[ 10.],[ 58.]
[ 22.],[ 10.],[ 65.]
[ 18.],[ 12.],[ 67.]
[ 10.],[ 12.],[ 57.]
[ 14.],[ 13.],[ 53.]
[ 22.],[ 14.],[ 54.]
[ 19.],[ 11.],[ 56.]
[ 24.],[ 11.],[ 23.]
[ 29.],[ 12.],[ 29.]
[ 21.],[ 18.],[ 26.]
[ 23.],[ 10.],[ 23.]
[ 22.],[ 15.],[ 19.]
[ 18.],[ 11.],[ 15.]
[ 28.],[ 16.],[ 15.]
[ 19.],[ 13.],[ 11.]
[ 23.],[ 22.],[ 5.]
[ 32.],[ 18.],[ 3.]
[ 27.],[ 20.],[ 3.]
[ 27.],[ 21.],[ 4.]
[ 30.],[ 17.],[ 1.]
[ 19.],[ 17.],[ 1.]
[ 39.],[ 23.],[ 2.]
[ 35.],[ 22.],[ 0.]
[ 37.],[ 19.],[ 1.]
[ 54.],[ 34.],[ 0.]
[ 52.],[ 32.],[ 2.]
[ 47.],[ 26.],[ 0.]
[ 38.],[ 40.],[ 0.]
[ 70.],[ 45.],[ 2.]
[ 60.],[ 53.],[ 0.]
[ 78.],[ 62.],[ 1.]
[ 103.],[ 63.],[ 0.]
[ 151.],[ 124.],[ 1.]
[ 218.],[ 169.],[ 0.]
[ 275.],[ 248.],[ 0.]
[ 347.],[ 322.],[ 0.]
[ 469.],[ 378.],[ 2.]
[ 438.],[ 430.],[ 0.]
